arm,label,n_seeds,acc_mean,acc_std,wall_min,clauses,automata
single-l1,Layer 1 alone,3,34.363,0.975,1.27,128,0.063
single-matched,Single layer / matched budget,3,35.437,0.407,1.92,640,0.317
single-rf,Single layer / 9x9 patch (matched RF),3,37.757,1.042,4.68,640,1.303
flat-stack,Flat stack (global OR + flat TM),3,22.620,1.300,1.93,640,0.195
mctm,MCTM (2 layers),3,15.367,0.977,3.51,640,1.266
mctm-dense,MCTM / dense layer 1 (s=2),3,14.097,0.581,4.01,640,1.266
mctm-random,MCTM / random layer 1,3,37.597,0.287,2.18,640,1.266
mctm-nopool,MCTM / no OR-pool,3,14.530,0.890,6.22,640,1.296
mctm-nopos,MCTM / no position encoding,3,10.013,0.015,3.43,640,1.243
mctm-pool4,MCTM / 4x4 OR-pool,3,13.657,0.367,2.35,640,1.251
