arm,label,size,pos,neg,neg_frac,empty
single-l1,Layer 1 alone,85,32,47,0.574,0.000
single-matched,Single layer / matched budget,115,47,64,0.571,0.000
single-rf,Single layer / 9x9 patch (matched RF),109,43,67,0.604,0.000
flat-stack,Flat stack (global OR + flat TM),49,0,49,1.000,0.000
mctm,MCTM (2 layers),1177,15,1163,0.974,0.000
mctm-dense,MCTM / dense layer 1 (s=2),1174,11,1163,0.991,0.000
mctm-random,MCTM / random layer 1,155,20,135,0.871,0.000
mctm-nopool,MCTM / no OR-pool,1209,33,1178,0.953,0.000
mctm-nopos,MCTM / no position encoding,1158,6,1152,0.967,0.000
mctm-pool4,MCTM / 4x4 OR-pool,1160,5,1155,0.994,0.000
