channel,rate
0,0.024675
1,0.021744
2,0.021454
3,0.020686
4,0.020247
5,0.019952
6,0.019769
7,0.019474
8,0.019446
9,0.019130
10,0.018856
11,0.018724
12,0.018579
13,0.017800
14,0.017555
15,0.017162
16,0.016974
17,0.016927
18,0.016903
19,0.016781
20,0.016739
21,0.016411
22,0.016381
23,0.016342
24,0.016159
25,0.016159
26,0.016068
27,0.016061
28,0.015955
29,0.015832
30,0.015824
31,0.015773
32,0.015679
33,0.015466
34,0.015403
35,0.015298
36,0.015260
37,0.015216
38,0.015191
39,0.015101
40,0.014995
41,0.014983
42,0.014927
43,0.014920
44,0.014760
45,0.014574
46,0.014565
47,0.014497
48,0.014496
49,0.014395
50,0.014355
51,0.014328
52,0.014286
53,0.014260
54,0.014236
55,0.014236
56,0.014221
57,0.014180
58,0.014175
59,0.014080
60,0.014068
61,0.014043
62,0.014033
63,0.014028
64,0.014023
65,0.013955
66,0.013950
67,0.013908
68,0.013907
69,0.013825
70,0.013823
71,0.013657
72,0.013615
73,0.013589
74,0.013571
75,0.013559
76,0.013537
77,0.013523
78,0.013522
79,0.013483
80,0.013185
81,0.013166
82,0.013154
83,0.013131
84,0.013059
85,0.013028
86,0.012991
87,0.012926
88,0.012841
89,0.012814
90,0.012750
91,0.012750
92,0.012673
93,0.012663
94,0.012662
95,0.012653
96,0.012547
97,0.012520
98,0.012501
99,0.012472
100,0.012417
101,0.012251
102,0.012233
103,0.012213
104,0.012187
105,0.012175
106,0.012165
107,0.012121
108,0.012056
109,0.012027
110,0.011991
111,0.011957
112,0.011945
113,0.011848
114,0.011811
115,0.011802
116,0.011526
117,0.011494
118,0.011423
119,0.011413
120,0.011392
121,0.011341
122,0.011186
123,0.011138
124,0.010709
125,0.010171
126,0.010019
127,0.009565
