channel,rate
0,0.913851
1,0.873290
2,0.789413
3,0.766817
4,0.759301
5,0.710879
6,0.669705
7,0.662992
8,0.656480
9,0.640983
10,0.587586
11,0.585359
12,0.546267
13,0.526136
14,0.482952
15,0.482796
16,0.464888
17,0.452062
18,0.442234
19,0.419529
20,0.367903
21,0.364150
22,0.356531
23,0.354260
24,0.336735
25,0.320254
26,0.318186
27,0.303606
28,0.297656
29,0.287909
30,0.277237
31,0.274879
32,0.268219
33,0.261174
34,0.257882
35,0.253482
36,0.252421
37,0.251878
38,0.247135
39,0.219696
40,0.211617
41,0.200550
42,0.200241
43,0.180465
44,0.177378
45,0.171441
46,0.169692
47,0.165788
48,0.165785
49,0.165721
50,0.162815
51,0.157019
52,0.156972
53,0.155911
54,0.150349
55,0.148353
56,0.144500
57,0.144155
58,0.143264
59,0.141306
60,0.139583
61,0.134616
62,0.134082
63,0.133329
64,0.131578
65,0.125321
66,0.116652
67,0.115539
68,0.109402
69,0.106626
70,0.105262
71,0.102035
72,0.097514
73,0.090096
74,0.089149
75,0.077668
76,0.071429
77,0.064771
78,0.059194
79,0.056876
80,0.056383
81,0.054659
82,0.052721
83,0.049541
84,0.048026
85,0.047086
86,0.046316
87,0.044689
88,0.044092
89,0.041902
90,0.041053
91,0.040699
92,0.040214
93,0.035149
94,0.033100
95,0.032802
96,0.030900
97,0.027435
98,0.024972
99,0.023431
100,0.022549
101,0.021865
102,0.017771
103,0.017749
104,0.016804
105,0.015465
106,0.014911
107,0.014532
108,0.013794
109,0.011128
110,0.010204
111,0.009779
112,0.008148
113,0.008064
114,0.006869
115,0.006766
116,0.005743
117,0.005001
118,0.004871
119,0.004780
120,0.003462
121,0.003447
122,0.002183
123,0.001507
124,0.000385
125,0.000000
126,0.000000
127,0.000000
