channel,rate
0,0.009636
1,0.004439
2,0.004438
3,0.004368
4,0.004062
5,0.004003
6,0.003927
7,0.003598
8,0.003365
9,0.003216
10,0.003150
11,0.003072
12,0.002974
13,0.002919
14,0.002714
15,0.002695
16,0.002652
17,0.002589
18,0.002569
19,0.002510
20,0.002472
21,0.002412
22,0.002398
23,0.002371
24,0.002361
25,0.002273
26,0.002268
27,0.002230
28,0.002202
29,0.002161
30,0.002155
31,0.002154
32,0.002139
33,0.002022
34,0.001967
35,0.001965
36,0.001919
37,0.001913
38,0.001834
39,0.001822
40,0.001805
41,0.001796
42,0.001762
43,0.001761
44,0.001737
45,0.001730
46,0.001722
47,0.001713
48,0.001700
49,0.001686
50,0.001683
51,0.001648
52,0.001638
53,0.001630
54,0.001591
55,0.001583
56,0.001574
57,0.001572
58,0.001560
59,0.001538
60,0.001511
61,0.001476
62,0.001473
63,0.001447
64,0.001441
65,0.001431
66,0.001400
67,0.001399
68,0.001381
69,0.001378
70,0.001360
71,0.001350
72,0.001334
73,0.001333
74,0.001332
75,0.001326
76,0.001308
77,0.001297
78,0.001294
79,0.001291
80,0.001290
81,0.001276
82,0.001272
83,0.001259
84,0.001241
85,0.001235
86,0.001219
87,0.001219
88,0.001216
89,0.001215
90,0.001211
91,0.001192
92,0.001189
93,0.001170
94,0.001163
95,0.001118
96,0.001114
97,0.001103
98,0.001093
99,0.001082
100,0.001078
101,0.001066
102,0.001063
103,0.001044
104,0.001028
105,0.001027
106,0.001003
107,0.000992
108,0.000985
109,0.000981
110,0.000893
111,0.000890
112,0.000868
113,0.000864
114,0.000846
115,0.000810
116,0.000809
117,0.000805
118,0.000774
119,0.000733
120,0.000726
121,0.000707
122,0.000690
123,0.000584
124,0.000468
125,0.000387
126,0.000000
127,0.000000
