arm,label,n_seeds,acc_mean,acc_std,wall_min,clauses,automata
single-matched,Single layer / matched budget,3,35.44,0.41,1.92,640,0.317
single-rf,Single layer / 9x9 patch (matched RF),3,37.76,1.04,4.68,640,1.303
single-l1,Layer 1 alone,3,34.36,0.97,1.27,128,0.063
mctm,MCTM / greedy layer 1,3,15.37,0.98,3.51,640,1.266
mctm-random,MCTM / random layer 1,3,37.60,0.29,2.18,640,1.266
flat-stack,Flat stack (global OR),3,22.62,1.30,1.93,640,0.195
mctm-auto,A: MCTM / autoencoder layer 1,3,21.51,2.20,3.15,640,1.266
flat-auto,A: flat stack / autoencoder layer 1,3,16.89,1.18,1.04,640,0.195
flat-random,flat stack / random layer 1,3,30.01,1.46,1.04,640,0.195
mctm-calib-r005,B: density target 0.5,3,15.55,0.27,3.66,640,1.266
mctm-calib-r01,B: density target 1,3,16.66,0.89,3.62,640,1.266
mctm-calib-r02,B: density target 2,3,15.94,0.70,3.60,640,1.266
mctm-calib-r05,B: density target 5,3,20.30,2.24,3.61,640,1.266
mctm-calib-r10,B: density target 10,3,21.91,2.70,3.59,640,1.266
mctm-calib-r20,B: density target 20,3,24.46,0.94,3.60,640,1.266
mctm-calib-r20-tight,B: density target 20 / tight band,1,31.00,0.00,7.31,640,1.266
mctm-size-k24,B: + size target 24,2,30.59,0.43,3.61,640,1.266
mctm-size-k12,B: + size target 12,2,32.53,1.03,3.56,640,1.266
mctm-size-k6,B: + size target 6,2,35.59,0.23,3.57,640,1.266
mctm-size-k3,B: + size target 3,2,35.18,0.01,3.55,640,1.266
mctm-auto-calib,A+B: autoencoder + calibrated,2,23.91,1.26,2.32,640,1.266
mctm-rc-r05,B: random L1 / density target 5,2,35.98,0.09,3.89,640,1.266
mctm-rc-r10,B: random L1 / density target 10,2,39.59,0.18,4.09,640,1.266
mctm-random-calib,B: random L1 / density target 20,3,42.62,0.71,2.74,640,1.266
mctm-rc-r40,B: random L1 / density target 40,2,41.70,0.93,3.36,640,1.266
mctm-rc-r60,B: random L1 / density target 60,2,41.52,1.22,2.78,640,1.266
mctm-credit-ia,C: credit / Type Ia+II only,2,19.18,2.18,3.92,640,1.266
mctm-credit-ib,C: credit / + blaming Type Ib,2,14.53,6.41,6.96,640,1.266
mctm-credit-bal,C: credit / + Ib balanced,2,18.12,0.03,8.26,640,1.266
mctm-credit-warm,C: warm start (no controller),2,14.65,0.48,5.34,640,1.266
mctm-credit-cal-p1,B+C: controller / step 1.0,2,15.87,0.41,5.49,640,1.266
mctm-credit-cal,B+C: controller / step 0.1,2,15.76,1.34,11.41,640,1.266
mctm-credit-cal-p001,B+C: controller / step 0.01,1,18.60,0.00,5.72,640,1.266
mctm-auto-credit,A+B+C: all three,1,19.51,0.00,5.56,640,1.266
