epoch,test_acc,l1_size,l1_fire
1,16.790,0.0,0.0000
2,18.050,0.0,0.0000
3,18.480,0.0,0.0000
4,18.380,0.0,0.0000
5,18.390,0.0,0.0000
6,18.730,0.0,0.0000
7,18.390,0.0,0.0000
8,19.360,0.0,0.0000
9,19.370,0.0,0.0000
10,19.510,0.0,0.0000
11,14.770,48.0,18.3171
12,15.420,48.0,18.3171
13,13.040,48.0,18.3171
14,15.140,48.0,18.3171
15,15.020,48.0,18.3171
16,15.240,48.0,18.3171
17,14.990,48.0,18.3171
18,15.180,48.0,18.3171
19,14.590,48.0,18.3171
20,15.510,48.0,18.3171
21,15.020,48.0,18.3171
22,15.250,48.0,18.3171
23,14.440,48.0,18.3171
24,15.300,48.0,18.3171
25,15.240,48.0,18.3171
26,15.170,48.0,18.3171
27,14.510,48.0,18.3171
28,15.110,48.0,18.3171
29,15.110,48.0,18.3171
30,14.980,48.0,18.3171
