epoch,test_acc,l1_size,l1_fire
1,15.450,207.0,0.0000
2,18.100,207.0,0.0000
3,16.570,207.0,0.0000
4,15.000,207.0,0.0000
5,15.690,207.0,0.0000
6,16.860,207.0,0.0000
7,16.550,207.0,0.0000
8,15.220,207.0,0.0000
9,17.690,207.0,0.0000
10,15.000,207.0,0.0000
11,16.060,207.0,0.0000
12,16.750,207.0,0.0000
13,14.840,207.0,0.0000
14,16.640,207.0,0.0000
15,16.390,207.0,0.0000
16,15.590,207.0,0.0000
17,15.840,207.0,0.0000
18,17.140,207.0,0.0000
19,17.420,207.0,0.0000
20,16.580,207.0,0.0000
21,16.400,207.0,0.0000
22,15.380,207.0,0.0000
23,16.620,207.0,0.0000
24,16.440,207.0,0.0000
25,16.600,207.0,0.0000
26,17.230,207.0,0.0000
27,15.580,207.0,0.0000
28,16.870,207.0,0.0000
29,16.400,207.0,0.0000
30,17.530,207.0,0.0000
