epoch,test_acc,l1_size,l1_fire
1,14.180,0.0,0.0000
2,13.530,0.0,0.0000
3,13.940,0.0,0.0000
4,13.730,0.0,0.0000
5,14.220,0.0,0.0000
6,14.720,0.0,0.0000
7,13.470,0.0,0.0000
8,14.510,0.0,0.0000
9,14.790,0.0,0.0000
10,12.810,0.0,0.0000
11,18.600,55.0,15.5768
12,17.130,55.0,15.5957
13,17.520,55.0,15.6237
14,18.160,55.0,15.6237
15,16.670,55.0,15.6237
16,18.270,55.0,15.6237
17,13.870,55.0,15.6237
18,16.720,55.0,15.6612
19,14.040,55.0,15.6612
20,13.760,55.0,15.6237
21,14.400,55.0,15.5957
22,15.080,55.0,15.5957
23,12.770,55.0,15.5957
24,12.750,55.0,15.5957
25,14.000,55.0,15.5957
26,12.450,55.0,15.5957
27,14.620,55.0,15.5957
28,13.750,55.0,15.5957
29,13.790,55.0,15.5957
30,13.700,55.0,15.5957
