epoch,test_acc,l1_size,l1_fire
1,14.950,0.0,0.0000
2,14.920,0.0,0.0000
3,13.580,0.0,0.0000
4,13.120,0.0,0.0000
5,14.750,0.0,0.0000
6,14.980,0.0,0.0000
7,12.710,0.0,0.0000
8,12.650,0.0,0.0000
9,13.920,0.0,0.0000
10,12.420,0.0,0.0000
11,15.680,55.0,15.5508
12,16.710,55.0,15.5957
13,11.720,55.0,15.6056
14,12.380,55.0,15.5957
15,13.380,55.0,15.5957
16,15.890,55.0,15.5957
17,14.960,55.0,15.5957
18,16.100,55.0,15.5957
19,13.300,55.0,15.5508
20,14.570,55.0,15.5508
21,14.430,55.0,15.5508
22,13.550,55.0,15.5508
23,15.160,55.0,15.5508
24,14.550,55.0,15.5508
25,14.640,55.0,15.5508
26,13.380,55.0,15.5508
27,14.160,55.0,15.5508
28,13.570,55.0,15.5508
29,13.470,55.0,15.5508
30,13.450,55.0,15.5508
