epoch,test_acc,l1_size,l1_fire
1,15.950,251.0,0.0000
2,15.590,251.0,0.0000
3,15.300,251.0,0.0000
4,16.920,251.0,0.0000
5,14.000,251.0,0.0000
6,16.060,251.0,0.0000
7,17.050,251.0,0.0000
8,15.300,251.0,0.0000
9,16.940,251.0,0.0000
10,16.770,251.0,0.0000
11,15.140,251.0,0.0000
12,16.490,251.0,0.0000
13,15.550,251.0,0.0000
14,15.880,251.0,0.0000
15,16.110,251.0,0.0000
16,17.640,251.0,0.0000
17,17.190,251.0,0.0000
18,17.200,251.0,0.0000
19,17.330,251.0,0.0000
20,17.250,251.0,0.0000
21,15.890,251.0,0.0000
22,15.370,251.0,0.0000
23,15.810,251.0,0.0000
24,14.530,251.0,0.0000
25,15.920,251.0,0.0000
26,14.880,251.0,0.0000
27,16.160,251.0,0.0000
28,16.300,251.0,0.0000
29,15.770,251.0,0.0000
30,16.620,251.0,0.0000
