epoch,test_acc,l1_size,l1_fire
1,17.160,0.0,0.0000
2,14.860,0.0,0.0000
3,13.070,0.0,0.0000
4,12.810,0.0,0.0000
5,14.160,0.0,0.0000
6,17.870,0.0,0.0000
7,14.280,0.0,0.0000
8,17.950,0.0,0.0000
9,19.060,0.0,0.0000
10,14.670,0.0,0.0000
11,13.710,0.0,0.0000
12,17.000,0.0,0.0000
13,15.030,0.0,0.0000
14,14.180,0.0,0.0000
15,14.680,0.0,0.0000
16,13.950,0.0,0.0000
17,10.000,0.0,0.0000
18,10.000,0.0,0.0000
19,10.000,0.0,0.0000
20,10.000,0.0,0.0000
21,10.000,0.0,0.0000
22,10.000,0.0,0.0000
23,10.000,0.0,0.0000
24,10.000,0.0,0.0000
25,10.000,0.0,0.0000
26,10.000,0.0,0.0000
27,10.000,0.0,0.0000
28,10.000,0.0,0.0000
29,10.000,0.0,0.0000
30,10.000,0.0,0.0000
