epoch,test_acc,l1_size,l1_fire
1,14.180,0.0,0.0000
2,13.530,0.0,0.0000
3,13.940,0.0,0.0000
4,13.730,0.0,0.0000
5,14.220,0.0,0.0000
6,14.720,0.0,0.0000
7,13.470,0.0,0.0000
8,14.510,0.0,0.0000
9,14.790,0.0,0.0000
10,12.810,0.0,0.0000
11,14.160,85.0,0.1441
12,14.060,85.0,0.1441
13,12.580,85.0,0.1441
14,14.570,85.0,0.1441
15,13.960,85.0,0.1441
16,13.990,85.0,0.1441
17,13.220,85.0,0.1441
18,13.690,85.0,0.1441
19,14.850,85.0,0.1441
20,14.990,85.0,0.1441
21,13.370,85.0,0.1441
22,13.020,85.0,0.1441
23,13.190,85.0,0.1441
24,14.580,85.0,0.1441
25,13.930,85.0,0.1441
26,14.130,85.0,0.1441
27,14.420,85.0,0.1441
28,14.970,85.0,0.1441
29,14.890,85.0,0.1441
30,13.230,85.0,0.1441
