arm,label,kind,fire,dead,size,neg_frac,fire_post
mctm-auto,A: MCTM / autoencoder layer 1,auto,17.65,0.0,45,0.658,17.65
flat-random,flat stack / random layer 1,random,13.16,2.3,3,0.510,13.16
mctm-calib-r005,B: density target 0.5,greedy,0.14,1.6,85,0.574,0.51
mctm-calib-r01,B: density target 1,greedy,0.14,1.6,85,0.574,0.97
mctm-calib-r02,B: density target 2,greedy,0.14,1.6,85,0.574,1.87
mctm-calib-r05,B: density target 5,greedy,0.14,1.6,85,0.574,4.67
mctm-calib-r10,B: density target 10,greedy,0.14,1.6,85,0.574,8.90
mctm-calib-r20,B: density target 20,greedy,0.14,1.6,85,0.574,15.66
mctm-auto-calib,A+B: autoencoder + calibrated,auto,17.65,0.0,45,0.658,18.43
mctm-rc-r05,B: random L1 / density target 5,random,13.16,2.3,3,0.510,7.55
mctm-rc-r10,B: random L1 / density target 10,random,13.16,2.3,3,0.510,15.59
mctm-random-calib,B: random L1 / density target 20,random,13.16,2.3,3,0.510,26.40
mctm-rc-r40,B: random L1 / density target 40,random,13.16,2.3,3,0.510,51.15
mctm-rc-r60,B: random L1 / density target 60,random,13.16,2.3,3,0.510,64.29
mctm-credit-warm,C: warm start (no controller),greedy,0.14,1.6,85,0.574,0.14
