label,acc,sd,fire,dead,l2size,l2pos,seeds
single layer,51.02,0.69,--,--,--,--,3
flat stack / greedy L1,50.60,0.76,--,--,67,19,3
MCTM / greedy L1,76.87,2.99,0.00,73,1600,375,3
MCTM / oracle L1 (64 ch),66.98,3.37,2.67,0,1601,101,3
A: MCTM / autoencoder L1,99.93,0.12,7.55,12,22,7,3
A+B: autoencoder + calibrated,95.32,6.03,7.94,36,100,23,3
B: greedy L1 + calibrated,90.92,12.51,9.13,41,5,2,3
MCTM / random L1,68.45,2.67,5.89,0,1593,275,3
C: credit / Ia+II only,51.02,0.69,0.00,100,1640,54,3
C: credit / balanced,51.02,0.69,0.00,100,1601,2,3
C: warm start / step 1.0,75.92,7.85,0.00,100,1602,6,3
C: warm start / step 0.1,75.92,7.85,0.00,100,1604,9,3
B+C: warm start + controller,86.07,12.83,83.13,0,46,8,3
