label,acc,sd,fire,dead,l2size,l2pos,seeds
single layer,56.98,11.36,--,--,--,--,3
flat stack / greedy L1,61.98,9.91,--,--,65,22,3
MCTM / greedy L1,64.78,1.05,0.00,66,214,10,3
MCTM / oracle L1 (64 ch),78.48,1.37,1.33,0,161,11,3
A: MCTM / autoencoder L1,87.85,5.20,7.24,42,13,11,3
A+B: autoencoder + calibrated,79.08,5.16,0.00,50,141,8,3
B: greedy L1 + calibrated,67.58,0.97,87.22,9,31,24,3
MCTM / random L1,79.45,3.59,4.86,0,121,25,3
C: credit / Ia+II only,64.83,4.99,0.00,100,4288,10,3
C: credit / balanced,62.45,10.46,0.00,100,11404,21,3
C: warm start / step 1.0,62.17,1.69,0.00,100,5584,12,3
C: warm start / step 0.1,62.17,1.69,0.00,100,6969,21,3
B+C: warm start + controller,66.30,2.13,87.22,0,44,21,3
