batch,cpu_train,gpu_train,cpu_infer,gpu_infer,train_speedup,infer_speedup
1,14,435,610,4338,31.2,7.1
2,26,869,4751,8423,34.0,1.8
4,41,1734,5535,16796,42.1,3.0
8,60,3467,7768,34203,58.0,4.4
16,87,6885,12098,68290,79.5,5.6
32,118,13495,14334,134143,114.7,9.4
64,177,26019,24122,264766,147.0,11.0
128,268,49728,33920,528702,185.8,15.6
256,408,88908,43736,973520,217.9,22.3
512,601,133583,50373,978210,222.2,19.4
1024,816,135876,49877,997886,166.5,20.0
2048,1574,163057,42987,1040147,103.6,24.2
4096,3595,219850,37217,1051822,61.2,28.3
